file,type,role,contents_or_calculation,used_by,required_for_default_run
calculations.py,Python module,Deterministic calculations,"Computes Darcy flux, cell mass discharge, plane/analyte summaries, group loads, surface-water loads, well loads, allowable loads, and deterministic receptor comparisons.",Imported by run_pfas_flux.py,Yes
io.py,Python module,Input/output utilities,"Reads required CSV archive, validates required files and columns, creates output folders, and writes CSV outputs.",Imported by run_pfas_flux.py,Yes
plots.py,Python module,Figure generation,"Creates benchmark PNG/SVG plots for group mass discharge, stacked analyte mass discharge, uncertainty intervals, and receptor exceedance probability.",Called unless --skip-figures is used,No for tables; yes for figures
schema.py,Python module,Schema and units,"Defines required CSV files, required columns, analyte column mappings, analyte output labels, and the unit conversion to g/d.","Imported by calculations.py, io.py, uncertainty.py",Yes
uncertainty.py,Python module,Monte Carlo workflow,"Samples K, gradient, thickness, concentrations, F_comp, flows and mixing factors; computes percentile summaries and exceedance probabilities.",Imported by run_pfas_flux.py,Yes for uncertainty outputs
__init__.py,Python package file,Package metadata,Declares pfas_flux as an importable package and stores package version.,Imported by Python packaging,Yes for package import
analyte_groups.csv,CSV input,PFAS group definitions,"Defines group_id, included analytes, excluded information, non-detect rule, TOP availability, F_comp low/central/high, reporting purpose and basis labels.",Read by calculations.py and uncertainty.py,Yes
archive_manifest.csv,CSV input,Archive inventory,"Lists archive files, file descriptions, local-coordinate status, and dataset-status warning.",Read for completeness/audit output,Yes
assumed_K_zones.csv,CSV input,Hydraulic-property ranges,"Defines hydraulic-conductivity, hydraulic-gradient, and effective-thickness low/central/high values for each K zone, with basis labels.",Used in deterministic and Monte Carlo control-plane calculations,Yes
control_plane_cells.csv,CSV input,Control-plane cell archive,"Defines CP1-CP3 cells, geometry, K zone, normal gradient, and central PFAS concentrations for each cell.",Primary groundwater mass-discharge input,Yes
example_mass_discharge_results.csv,CSV example output,Central-case QA results,Stores example deterministic outputs for checking unit conversion and reproducing the benchmark.,"Reference/check file, not required by code",No
receptor_flows.csv,CSV input,Receptor-decision archive,"Defines receptors, linked plane/node/well, flow range, mixing/allocation range, and placeholder criterion for allowable-load calculation.",Used in receptor comparisons and P_exceed,Yes
source_areas.csv,CSV input,Synthetic source inventory,"Defines representative source areas, release modes, approximate areas, activity years, source strength and vadose-memory class.",Supports CSM documentation and figures; not required for core mass calculation,"No for calculation, yes for documentation"
surface_water_nodes.csv,CSV input,Surface-water/event nodes,"Defines receiving-water and event pathway nodes, flow ranges, concentrations and basis labels.",Used for surface-water/event load calculations,Yes for cross-media outputs
wells.csv,CSV input,Monitoring and receptor wells,"Defines well roles, local positions, screens, K zone, local head, central concentrations and basis labels.",Used for water-use bore/extracted-water loads and documentation,Yes for well-linked receptors
