plane_id,group_id,included_analytes,excluded_information,n_realizations,measured_group_mass_discharge_g_d_mean,measured_group_mass_discharge_g_d_p05,measured_group_mass_discharge_g_d_p50,measured_group_mass_discharge_g_d_p95,measured_group_mass_discharge_g_d_cv,F_comp_adjusted_mass_discharge_g_d_mean,F_comp_adjusted_mass_discharge_g_d_p05,F_comp_adjusted_mass_discharge_g_d_p50,F_comp_adjusted_mass_discharge_g_d_p95,F_comp_adjusted_mass_discharge_g_d_cv
CP1,G1,PFOS,none beyond target PFOS,10000,0.7426374863518537,0.19111526752113872,0.5889820008348764,1.8143204558349368,0.7518938015895555,0.8639188670654617,0.2179612471418479,0.6850703406599281,2.124285905435606,0.7580723278235375
CP1,G2,PFHxS,none beyond target PFHxS,10000,0.24382642069501936,0.0610196011669084,0.18996381504139584,0.6119811534353581,0.7870211377412086,0.2843234557931053,0.06991367098023275,0.2210645620258283,0.7181371138186158,0.7949714778604933
CP1,G3,PFOS;PFHxS,"precursors, branched isomer detail, non-target organofluorine",10000,0.9864639070468729,0.2567139680830354,0.7865096025523799,2.403404878564919,0.7444273150617169,1.3777331322496782,0.3448464094478236,1.0945597588078497,3.3963734369071226,0.7650231599849459
CP1,G4,PFOS;PFHxS;PFOA;PFBA;PFBS;6:2 FTS,"non-target PFAS, polymers, unidentified precursors",10000,1.4405206697033959,0.3843244608576115,1.170771453746024,3.4497523203531064,0.7150275858205538,2.5392603467785766,0.6261811034293103,1.994304671919082,6.398203835266722,0.7727504908395051
CP1,G5,PFBA;PFBS,long-chain PFAS and precursors,10000,0.24570353199635386,0.06837684600187038,0.20225915476298778,0.569463975367079,0.6769054168341719,0.2865502048553026,0.0785066938632888,0.23425163833460322,0.6674677148722659,0.6898413991536902
CP1,G6,6:2 FTS,"unknown precursor pool, non-target organofluorine",10000,0.11880857709714338,0.031180154684178264,0.09520760767570516,0.2869541510728643,0.7333760774887549,0.27823507968862876,0.06439791907503511,0.2152854822873905,0.6958214936709942,0.8077515838063237
CP2,G1,PFOS,none beyond target PFOS,10000,0.36902295492727666,0.10402396243470881,0.2970549550477889,0.8852397118211942,0.7090488145165035,0.4294484470567676,0.11705639113204461,0.34546019278696544,1.0323756486047586,0.7187402401001024
CP2,G2,PFHxS,none beyond target PFHxS,10000,0.10789053633812669,0.030526460729645065,0.08649474032343027,0.25867398543500647,0.7090584583351738,0.12570118660031232,0.03513530272637704,0.10028695305773921,0.30150422028694074,0.7152984662033798
CP2,G3,PFOS;PFHxS,"precursors, branched isomer detail, non-target organofluorine",10000,0.47691349126540333,0.13646713957204054,0.3859853498779315,1.1327282294364098,0.6927347182329037,0.6671497790307809,0.1846839884527985,0.5335692806797363,1.5946753841391321,0.7187566178543733
CP2,G4,PFOS;PFHxS;PFOA;PFBA;PFBS;6:2 FTS,"non-target PFAS, polymers, unidentified precursors",10000,0.8560460734011179,0.2569887294191199,0.7142895964432937,1.9587084626442013,0.6464763685207071,1.5133220310423297,0.4114401412629313,1.2273887143495532,3.6160311069662505,0.7168442335317445
CP2,G5,PFBA;PFBS,long-chain PFAS and precursors,10000,0.2638514955710235,0.08313674056908237,0.22281000102477572,0.5739609317982407,0.6154165583050811,0.3075278663854876,0.09488761159217518,0.25763991514249107,0.6770729880892344,0.6275228215179215
CP2,G6,6:2 FTS,"unknown precursor pool, non-target organofluorine",10000,0.057516718588785466,0.015882800089698758,0.04618128293291095,0.13725105258207318,0.7161842654192747,0.13484161232157366,0.03271575086244362,0.10407567824011643,0.3384152360634301,0.7858353995019155
CP3,G1,PFOS,none beyond target PFOS,10000,0.009945569515460375,0.0028201167459863626,0.00805024682010505,0.023868097586854035,0.7192125982973577,0.011570155686041268,0.003235329092996452,0.009272927818552223,0.027689239598280055,0.7256973217185804
CP3,G2,PFHxS,none beyond target PFHxS,10000,0.002484197852329907,0.0007029019888465896,0.002001660488028598,0.005957418964778427,0.7188498786113644,0.0029039769318618324,0.0008025191997315108,0.0023270237007278925,0.007037295760829081,0.7337457658776837
CP3,G3,PFOS;PFHxS,"precursors, branched isomer detail, non-target organofluorine",10000,0.012429767367790282,0.0036061494122951398,0.010064755865890193,0.02979248526386371,0.7047078436899884,0.01741339121943071,0.004750622686058643,0.013933975881711524,0.04198882153896587,0.7377225462143417
CP3,G4,PFOS;PFHxS;PFOA;PFBA;PFBS;6:2 FTS,"non-target PFAS, polymers, unidentified precursors",10000,0.028688510178621254,0.009110043894088442,0.02403717520950027,0.06437746148896976,0.6374453800647126,0.050526145045630834,0.014410747867346202,0.04150755794427129,0.11864554622766288,0.691931531641088
CP3,G5,PFBA;PFBS,long-chain PFAS and precursors,10000,0.013822277999661717,0.004452932801014788,0.011760663263809515,0.030472692319252384,0.6171967527508365,0.01609905714619024,0.005070367673593921,0.013650833521729341,0.035819572582511866,0.626204549489154
CP3,G6,6:2 FTS,"unknown precursor pool, non-target organofluorine",10000,0.0007970182116600462,0.0002082772191221028,0.0006346883582938974,0.001948764089154733,0.7452660832448782,0.001869431245582877,0.0004285688360088943,0.001437198216172416,0.004802491893865572,0.8191866282609002
